City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Geraldton,AU,-28.7667,114.6,45.01,87,0,5.75,clear sky
236,Te Anau,NZ,-45.4167,167.7167,45.81,92,100,2.15,overcast clouds
237,Tiksi,RU,71.6872,128.8694,-16.82,100,97,4.07,overcast clouds
238,Tocache,PE,-8.1842,-76.5125,81.28,73,87,1.7,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,68.72,83,100,1.79,overcast clouds
240,Kumluca,TR,36.3703,30.2869,65.55,42,5,7.0,clear sky
241,Yar-Sale,RU,66.8333,70.8333,-4.05,99,63,10.65,broken clouds
242,Emerald,AU,-23.5333,148.1667,71.35,72,10,14.58,clear sky
243,Yelatma,RU,54.9675,41.7508,50.63,87,70,13.0,broken clouds
244,Samarai,PG,-10.6167,150.6667,81.68,75,100,13.38,overcast clouds
245,Riyadh,SA,24.6877,46.7219,73.54,34,23,7.23,few clouds
246,Laguna,US,38.421,-121.4238,61.29,64,20,3.44,few clouds
247,Mount Isa,AU,-20.7333,139.5,78.57,73,48,6.91,scattered clouds
248,Ixtapa,MX,20.7,-105.2,81.23,70,8,7.0,clear sky
249,Myitkyina,MM,25.3833,97.4,59.9,77,2,2.57,clear sky
250,Dingle,PH,10.9995,122.6711,75.7,93,58,6.78,broken clouds
251,Wanning,CN,18.8003,110.3967,75.78,88,100,6.17,overcast clouds
252,Tulsipur,NP,28.131,82.2973,55.62,59,0,5.06,clear sky
253,Vila Velha,BR,-20.3297,-40.2925,76.95,88,75,14.97,broken clouds
254,Namibe,AO,-15.1961,12.1522,64.42,75,42,9.71,scattered clouds
255,Barabinsk,RU,55.3571,78.357,32.43,98,100,10.63,light snow
256,Lasa,IT,46.6166,10.7002,50.88,42,74,1.66,broken clouds
257,Christchurch,NZ,-43.5333,172.6333,66.33,63,75,4.61,broken clouds
258,Santa Maria,BR,-29.6842,-53.8069,79.9,69,40,4.61,scattered clouds
259,Madimba,TZ,-10.4,40.3333,74.88,85,16,5.82,few clouds
260,Marsa Matruh,EG,31.3525,27.2453,66.4,68,20,4.61,few clouds
261,Grindavik,IS,63.8424,-22.4338,41.47,87,40,13.8,scattered clouds
262,Kulhudhuffushi,MV,6.6221,73.07,81.0,73,59,6.69,broken clouds
263,Ingham,US,42.6,-84.3833,38.43,70,100,10.65,overcast clouds
264,Key West,US,24.5557,-81.7826,89.6,74,0,6.91,clear sky
265,Taltal,CL,-25.4,-70.4833,63.9,65,64,4.83,broken clouds
266,Neuquen,AR,-38.9516,-68.0591,58.89,82,75,4.61,moderate rain
267,Ancud,CL,-41.8697,-73.8203,54.82,78,88,6.67,overcast clouds
268,Nuuk,GL,64.1835,-51.7216,23.61,86,40,11.5,scattered clouds
269,Whyalla,AU,-33.0333,137.5833,64.56,63,71,11.12,broken clouds
270,Buchanan,LR,5.8808,-10.0467,77.25,86,64,3.36,moderate rain
271,Port-Cartier,CA,50.0334,-66.8654,26.82,94,100,13.09,light snow
